[iter 1 | 2026-05-17 20:52 | phase 1 | p4n-radius-query] BLOCKED — P4N API gone (SPA only) + Overpass 406s from OCI cloud-IP. Phase 1 deferred (see LEARNED.md failure-mode entries). Pivoting to Phase 2 next iteration.
[iter 2 | 2026-05-17 21:00 | phase 2 | extract-p4n] 37 unique P4N URLs extracted (GOAL.md estimated 36; actual 37 because Tour 27 Schwarzensee #409728 added).
[iter 2 | 2026-05-17 21:00 | phase 2 | headcheck-p4n] 35/37 HTTP 200, 2 dead (#213799 Schiederweiher, #58708 P7 Schafbergbahn). Total elapsed 126s, no 429s — rate-limit at 1 req/3s was conservative.
[iter 2 | 2026-05-17 21:00 | phase 2 | p4n-replacements] Tour 3 + Tour 13 patched to Google Maps address fallback (per heuristic: address-form safer than coord-form for unattended).
[iter 3 | 2026-05-17 21:04 | phase 2 | extract-routes] 36 unique route URLs extracted (28 OA + 8 AV), tour-id mapping captured to .loop-state/route-url-tour-map.json
[iter 3 | 2026-05-17 21:04 | phase 2 | headcheck-routes] 34/36 HTTP 200 + title-verified. 2 dead: OA#7750068 (Tour 16), OA#1362539 (Tour 17). Both returned proper 410 Gone. Zero soft-404s — the pre-seeded LEARNED.md warning about OA soft-404s did not materialize.
[iter 3 | 2026-05-17 21:04 | phase 2 | route-replacements] Tour 16 + 17 routeUrls set to null + inline comment + route-url-replacements-needed.md written (lists 2 active + 3 pre-existing TODOs from projektwissen). Phase 2 done; Phase 2_links.done = true. Next: Phase 3a data-shape audit.
[iter 4 | 2026-05-17 21:09 | phase 3a | tour-schema-check] Inventoried via Python+regex. False positives flagged (id missing detection bug, nested-key bleed). Tour count 27/27 confirmed. Real schema audit needs JS parser — noted in LEARNED.md as heuristic.
[iter 4 | 2026-05-17 21:09 | phase 3a | lookup-completeness] dogSwimMap 27/27 ✓, womoRating 27/27 ✓, routeUrls 26/27 → FIXED: inserted 26:null for Vilsalpsee + updated route-url-replacements-needed.md
[iter 4 | 2026-05-17 21:09 | phase 3a | typecolors-audit] 5 types used, 5 colors defined, no orphans (see-fluss still used by Tour 10 after Phase 0 Tour 1 fix)
[iter 4 | 2026-05-17 21:09 | phase 3a | fallback-pattern-sweep] 4 sites documented in LEARNED.md (lines 460, 507, 522, 527, 566). All maps now 27/27 — no current silent corruption, but pattern remains for future-tour additions.
[iter 5 | 2026-05-17 21:13 | phase 3b | line-7-current-state] "26 tours...PIN via Supabase" → "27 tours...Passkey via auth.apps.buchboeck.at"
[iter 5 | 2026-05-17 21:13 | phase 3b | line-15-deps] external deps: dropped Supabase JS SDK reference, added auth.js/auth.css note
[iter 5 | 2026-05-17 21:13 | phase 3b | line-18-pin-auth] PIN auth bullet → Passkey WebAuthn bullet with migration history
[iter 5 | 2026-05-17 21:13 | phase 3b | lines-40-41-prereq] Prereqs rewritten: Passkey enrollment instead of 4-digit PIN
[iter 5 | 2026-05-17 21:13 | phase 3b | line-132-feature] App Feature #1: PIN Lock Screen → Passkey Lock Screen with cross-app reuse note
[iter 5 | 2026-05-17 21:13 | phase 3b | line-144-pattern] "Supabase PIN pattern" → "Passkey via shared auth service" with full architecture description + retirement audit trail
[iter 5 | 2026-05-17 21:13 | phase 3b | tour-counts] 26→27 fixed at lines 7, 25, 179; Timeline historical entries left intact (decision recorded in LEARNED.md)
[iter 6 | 2026-05-17 21:18 | phase 5 | wcag-bergsee] typeColors.bergsee #7209B7 → #A78BFA (1.95:1 → 6.0:1, passes AA)
[iter 6 | 2026-05-17 21:18 | phase 5 | wcag-seefluss] typeColors['see-fluss'] #2D6A4F → #34D399 (1.85:1 → 8.2:1, passes AA)
[iter 6 | 2026-05-17 21:18 | phase 5 | sort-header-a11y] 8 sortable <th>: role=button, tabindex=0, aria-sort=none, onkeydown Enter/Space; sortTable() updates aria-sort dynamically per active column
[iter 6 | 2026-05-17 21:18 | phase 5 | empty-state] render() early-returns explicit empty-state panel (🔍 emoji + headline + "Alle Filter zurücksetzen" CTA) when filtered.length===0; uses role=status aria-live=polite for screen-reader announce
[iter 6 | 2026-05-17 21:18 | phase 5 | no-other-stale-counts] grep verify: no other hardcoded 21/25/26 tour counts (only matches were tour cost amounts like "21 €/24h" — unrelated)
[iter 6 | 2026-05-17 21:18 | phase 5 | card-header-button] DEFERRED — needs own iteration with CSS-regression check. Marked open in PROGRESS.
[iter 7 | 2026-05-17 21:23 | phase 5 | card-header-button] cardHTML: outer .card div lost onclick, new <button type="button" class="card-header" aria-expanded aria-controls> wraps header content + onclick=toggleCard. toggleCard() now sets aria-expanded. Phase 5 complete (6/6).
[iter 8 | 2026-05-17 21:27 | phase 6 | workflow-file] .github/workflows/link-check.yml created — weekly cron + push trigger, HEAD-checks all P4N+route URLs with rate limit, fails at >5% dead. Uses integer arithmetic for threshold check (avoids bc dep).
[iter 8 | 2026-05-17 21:27 | phase 6 | readme-badge] README.md updated: Link-Health CI badge added (top), tour facts refreshed (8 cols not 6, Passkey not PIN, 35+ P4N, weekly CI), filenames corrected (wanderungen-v3-1.html, projektwissen-wanderungen-1.md), Vercel deployment URL added.
[iter 8 | 2026-05-17 21:28 | phase 6 | workflow-file] BLOCKED: gh OAuth lacks `workflow` scope (push rejected). Workflow file relocated to docs/proposed/link-check.yml + install guide in docs/proposed/README.md. Thomas can `gh auth refresh -s workflow && git mv docs/proposed/link-check.yml .github/workflows/ && git commit + push` in the morning.
[iter 8 | 2026-05-17 21:28 | phase 6 | ci-first-run-green] dependent on workflow-file install — blocker_logged.
[iter 8 | 2026-05-17 21:28 | phase 6 | readme-badge] README badge pinned to ?branch=main — will go green automatically once workflow installed.
